source_concept_id,source_concept_name,concept_code,cohort_name,points
45571657,"Malnutrition-related diabetes mellitus, with ophthalmic complications",E12.3,diabetes_with_chronic_complications,1
45571660,"Other specified diabetes mellitus, with peripheral circulatory complications",E13.5,diabetes_with_chronic_complications,1
45571664,"Unspecified diabetes mellitus, with neurological complications",E14.4,diabetes_with_chronic_complications,1
45576442,"Type 2 diabetes mellitus, with neurological complications",E11.4,diabetes_with_chronic_complications,1
45576445,"Malnutrition-related diabetes mellitus, with renal complications",E12.2,diabetes_with_chronic_complications,1
45586137,"Type 1 diabetes mellitus, With renal complications",E10.2,diabetes_with_chronic_complications,1
45591028,"Type 2 diabetes mellitus, with ophthalmic complications",E11.3,diabetes_with_chronic_complications,1
45591032,"Other specified diabetes mellitus, with ophthalmic complications",E13.3,diabetes_with_chronic_complications,1
45591036,"Unspecified diabetes mellitus, with ophthalmic complications",E14.3,diabetes_with_chronic_complications,1
45595796,"Type 1 diabetes mellitus, With peripheral circulatory complications",E10.5,diabetes_with_chronic_complications,1
45600643,"Malnutrition-related diabetes mellitus, with multiple complications",E12.7,diabetes_with_chronic_complications,1
45600646,"Unspecified diabetes mellitus, with multiple complications",E14.7,diabetes_with_chronic_complications,1
45605400,"Type 2 diabetes mellitus, with renal complications",E11.2,diabetes_with_chronic_complications,1
45605406,"Malnutrition-related diabetes mellitus, with peripheral circulatory complications",E12.5,diabetes_with_chronic_complications,1
45605407,"Unspecified diabetes mellitus, with renal complications",E14.2,diabetes_with_chronic_complications,1
45533130,Hereditary spastic paraplegia,G11.4,hemiplegia,2
45542908,Monoplegia of lower limb,G83.1,hemiplegia,2
45547762,Diplegia of upper limbs,G83.0,hemiplegia,2
45552548,Spastic diplegic cerebral palsy,G80.1,hemiplegia,2
45552550,"Paralytic syndrome, unspecified",G83.9,hemiplegia,2
45557259,"Monoplegia, unspecified",G83.3,hemiplegia,2
45562106,"Hemiplegia, unspecified",G81.9,hemiplegia,2
45562107,"Tetraplegia, unspecified",G82.5,hemiplegia,2
45566904,Flaccid tetraplegia,G82.3,hemiplegia,2
45571826,Spastic hemiplegic cerebral palsy,G80.2,hemiplegia,2
45571827,Hemiplegia,G81,hemiplegia,2
45571833,Cauda equina syndrome,G83.4,hemiplegia,2
45576610,Flaccid paraplegia,G82.0,hemiplegia,2
45586271,Human T-cell lymphotropic virus associated myelopathy,G04.1,hemiplegia,2
45586317,Monoplegia of upper limb,G83.2,hemiplegia,2
45591195,Flaccid hemiplegia,G81.0,hemiplegia,2
45591196,Spastic hemiplegia,G81.1,hemiplegia,2
45591197,Spastic tetraplegia,G82.4,hemiplegia,2
