concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,PAD (broad),dani_PAD_broad
4120098,From descendants,Superficial femoral artery stenosis,Condition,SNOMED,S,x,T
4124843,From descendants,Common femoral aneurysm,Condition,SNOMED,S,x,T
4127997,From descendants,Acquired renal artery stenosis,Condition,SNOMED,S,x,T
37109921,From descendants,Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus,Condition,SNOMED,S,x,T
37109922,From descendants,Acute occlusion of aortoiliac artery due to thrombosis,Condition,SNOMED,S,x,T
37111328,From descendants,CAMOS syndrome,Condition,SNOMED,S,,F
37163044,From descendants,Acute thrombotic subclavian artery occlusion,Condition,SNOMED,S,x,T
37163046,From descendants,Acute thrombotic renal artery occlusion,Condition,SNOMED,S,x,T
37163049,From descendants,Acute occlusion of popliteal artery due to thromboembolus,Condition,SNOMED,S,x,T
37204663,From descendants,Aneurysm of internal carotid bifurcation,Condition,SNOMED,S,,F
37204666,From descendants,Aneurysm of anterior communicating artery,Condition,SNOMED,S,,F
37204667,From descendants,Aneurysm of posterior cerebral artery,Condition,SNOMED,S,,F
37204670,From descendants,Aneurysm of internal carotid-anterior communicating artery zone,Condition,SNOMED,S,,F
37209564,From descendants,Aneurysm of left vertebral artery,Condition,SNOMED,S,,F
37399712,From descendants,Glomuvenous malformation,Condition,SNOMED,S,,F
320646,From descendants,Syphilitic aneurysm of aorta,Condition,SNOMED,S,,F
609011,From descendants,Atherosclerosis of autologous vein bypass graft of right upper limb,Condition,SNOMED,S,,F
609015,From descendants,Atherosclerosis of bypass graft of right upper limb,Condition,SNOMED,S,x,T
761211,From descendants,Aneurysm of right radial artery,Condition,SNOMED,S,x,T
761429,From descendants,Atherosclerosis of nonautologous biological bypass graft of left lower limb,Condition,SNOMED,S,x,T
761430,From descendants,Atherosclerosis of bypass graft of right lower limb,Condition,SNOMED,S,x,T
761431,From descendants,Atherosclerosis of nonautologous biological bypass graft of right lower limb,Condition,SNOMED,S,x,T
761743,From descendants,Atheroembolism of bilateral renal arteries,Condition,SNOMED,S,x,T
761752,From descendants,Congenital anomaly of blood vessel of right lower limb,Condition,SNOMED,S,,F
761804,From descendants,Stenosis of artery of right upper limb,Condition,SNOMED,S,x,T
761810,From descendants,Congenital anomaly of blood vessel of left upper limb,Condition,SNOMED,S,,F
762585,From descendants,Dissecting aneurysm of anterior cerebral artery,Condition,SNOMED,S,,F
765300,From descendants,Atheroembolism of left lower limb,Condition,SNOMED,S,x,T
35615015,From descendants,Aneurysm of extracranial portion of left internal carotid artery,Condition,SNOMED,S,,F
35615063,From descendants,Thrombosis of bilateral iliac arteries,Condition,SNOMED,S,x,T
35615075,From descendants,Occlusion of distal artery of right upper limb,Condition,SNOMED,S,x,T
35615099,From descendants,Thrombosis of right common femoral artery,Condition,SNOMED,S,x,T
1245705,From descendants,Bilateral congenital stenosis of renal arteries,Condition,SNOMED,S,,F
1245784,From descendants,Bilateral congenital arteriovenous malformation of renal arteries and renal veins,Condition,SNOMED,S,,F
4140448,From descendants,Aneurysm of descending aorta,Condition,SNOMED,S,,F
4140616,From descendants,Thrombosis of ulnar artery,Condition,SNOMED,S,x,T
4143389,From descendants,Enlarging abdominal aortic aneurysm,Condition,SNOMED,S,,F
4174014,From descendants,Inferior mesenteric artery embolus,Condition,SNOMED,S,x,T
4175579,From descendants,Suprarenal artery aneurysm,Condition,SNOMED,S,x,T
