concept_id,concept_name,Site
437400,Closed fracture of shaft of ulna,Forearm
437394,Closed fracture of lower end of forearm,Forearm
437123,Closed fracture of hamate bone of wrist,Forearm
437116,Closed fracture of distal end of radius,Forearm
436826,Closed fracture of shaft of radius,Forearm
436551,Closed fracture of trapezoidal bone of wrist,Forearm
436541,Closed fracture of ulna,Forearm
436251,Closed fracture of proximal end of ulna,Forearm
435950,Closed Colles' fracture,Forearm
435380,Closed fracture of radius AND ulna,Forearm
435374,Closed fracture of distal end of ulna,Forearm
434773,Closed multiple fractures of hand bones,Forearm
433886,Closed fracture of trapezium bone of wrist,Forearm
80854,Closed fracture of capitate bone of wrist,Forearm
80552,Closed fracture of scaphoid bone of wrist,Forearm
79165,Closed Monteggia's fracture,Forearm
78274,Closed fracture of pisiform bone of wrist,Forearm
75375,Closed fracture of lunate bone of wrist,Forearm
75091,Closed fracture of carpal bone,Forearm
74768,Closed fracture of triquetral bone of wrist,Forearm
4138275,Fracture dislocation of wrist joint,Forearm
4134305,Fracture subluxation of distal radioulnar joint,Forearm
4017654,Closed fracture subluxation elbow,Forearm
4173672,"Closed fracture of femur, subcapital",Hip
4160572,Pathological fracture of neck of femur associated with osteoporosis,Hip
4136840,Basicervical fracture of neck of femur,Hip
4136839,Midcervical fracture of neck of femur,Hip
4135747,Subcapital fracture of neck of femur,Hip
4015501,"Closed fracture of proximal femur, pertrochanteric",Hip
4015496,"Closed fracture proximal femur, subcapital, Garden grade IV",Hip
4015494,"Closed fracture proximal femur, transcervical",Hip
4012433,"Closed fracture proximal femur, subcapital, Garden grade II",Hip
4012431,"Closed fracture proximal femur, midcervical section",Hip
4009608,"Closed fracture proximal femur, subcapital, Garden grade III",Hip
4009607,"Closed fracture proximal femur, subcapital, Garden grade I",Hip
763864,Closed subcapital fracture of right femur,Hip
763793,Closed subcapital fracture of left femur,Hip
760643,Pathological fracture of neck of left femur,Hip
760642,Pathological fracture of neck of right femur,Hip
760414,Closed subcapital fracture of neck of left femur,Hip
760413,Closed subcapital fracture of neck of right femur,Hip
760412,Closed fracture of neck of left femur,Hip
760411,Closed fracture of neck of right femur,Hip
760410,Closed fracture of base of neck of left femur,Hip
760409,Closed fracture of base of neck of right femur,Hip
760406,Closed fracture of midcervical region of left femur,Hip
760405,Closed fracture of midcervical region of right femur,Hip
443459,Pathological fracture of neck of femur,Hip
440556,Closed transcervical fracture of femur,Hip
437703,Closed fracture of intracapsular section of femur,Hip
436247,Closed fracture of midcervical section of femur,Hip
435956,Closed fracture of base of neck of femur,Hip
434500,Closed fracture of neck of femur,Hip
433856,Fracture of neck of femur,Hip
46270166,Periprosthetic fracture of hip,Hip
45771398,Closed intra-articular fracture of head of femur,Hip
45767041,Pathological fracture of proximal femur due to osteoporosis,Hip
45767005,Pathological fracture of proximal femur due to secondary osteoporosis,Hip
45766906,Pathological fracture of proximal end of femur,Hip
45763653,Fracture of bone of hip region,Hip
44788772,"Closed fracture of femur, upper epiphysis",Hip
40493210,Closed fracture of trochanter of femur,Hip
40493184,Fracture of trochanter of femur,Hip
37311955,Fracture of proximal epiphysis of femur,Hip
37116533,Fracture of head of femur,Hip
4230399,Closed fracture of hip,Hip
4199545,Fracture subluxation of hip joint,Hip
4170313,"Closed fracture of femur, lesser trochanter",Hip
4167914,"Closed fracture of femur, greater trochanter",Hip
4145841,Closed fracture of acetabulum with dislocation of hip,Hip
4145054,Closed avulsion fracture of greater trochanter of femur,Hip
4142118,Closed avulsion fracture of lesser trochanter of femur,Hip
4138412,Fracture of proximal end of femur,Hip
4138277,Fracture dislocation of hip joint,Hip
4135748,Subtrochanteric fracture of femur,Hip
4133012,Intertrochanteric fracture,Hip
4103168,Fracture of greater trochanter,Hip
4027460,Closed pertrochanteric fracture,Hip
4018351,Closed fracture subluxation of hip joint,Hip
4015979,"Closed fracture proximal femur, intertrochanteric, comminuted",Hip
4015503,Pertrochanteric fracture,Hip
4015502,"Closed fracture proximal femur, intertrochanteric, two part",Hip
4015495,"Closed fracture proximal femur, transepiphyseal",Hip
4012285,Closed fracture dislocation of hip joint,Hip
4009610,"Closed fracture proximal femur, subtrochanteric",Hip
4009606,Closed fracture of head of femur,Hip
765036,Pathological fracture of left hip,Hip
765013,Closed fracture of epiphyseal plate of proximal end of left femur,Hip
761933,Subtrochanteric fracture of left femur,Hip
760696,Pathological fracture of left hip due to secondary osteoporosis,Hip
760694,Pathological fracture of right hip,Hip
760692,Pathological fracture of left hip due to osteoporosis,Hip
760691,Pathological fracture of right hip due to osteoporosis,Hip
760425,Closed fracture of epiphyseal plate of proximal end of right femur,Hip
760422,Closed fracture of lesser trochanter of left femur,Hip
760421,Closed fracture of lesser trochanter of right femur,Hip
760420,Closed fracture of greater trochanter of left femur,Hip
760419,Closed fracture of greater trochanter of right femur,Hip
760418,Closed intertrochanteric fracture of left femur,Hip
760417,Closed intertrochanteric fracture of right femur,Hip
760416,Closed intra-articular fracture of head of left femur,Hip
760415,Closed intra-articular fracture of head of right femur,Hip
760408,Closed subtrochanteric fracture of left femur,Hip
760407,Closed subtrochanteric fracture of right femur,Hip
760217,Closed fracture of proximal epiphysis of left femur,Hip
760216,Closed fracture of proximal epiphysis of right femur,Hip
136834,Closed intertrochanteric fracture,Hip
442560,Fracture of femur,Hip
435093,Closed fracture of femur,Hip
4017669,Fracture dislocation or subluxation hip,Hip
45767104,Closed transcondylar fracture of distal humerus,Humerus
45763685,Avulsion fracture of medial epicondyle of humerus,Humerus
40479208,Transcondylar fracture of distal humerus,Humerus
37309617,Closed fracture of capitellum of right humerus,Humerus
37309616,Closed fracture of capitellum of left humerus,Humerus
37116634,Fracture of medial condyle of humerus,Humerus
37116633,Fracture of lateral condyle of humerus,Humerus
4260258,Closed fracture of the medial epicondyle of humerus,Humerus
4085550,Fracture of the lateral humeral epicondyle,Humerus
4084432,Fracture of the medial humeral epicondyle,Humerus
4014050,"Closed fracture distal humerus, capitellum",Humerus
4013461,"Closed fracture distal humerus, lateral condyle",Humerus
765334,Closed transcondylar fracture of distal left humerus,Humerus
765333,Closed fracture of medial epicondyle of right humerus,Humerus
760336,Closed transcondylar fracture of distal right humerus,Humerus
760329,Closed fracture of medial epicondyle of left humerus,Humerus
760328,Closed fracture of lateral epicondyle of distal end of left humerus,Humerus
760327,Closed fracture of lateral epicondyle of distal end of right humerus,Humerus
760326,Closed fracture of lateral condyle of distal left humerus,Humerus
760325,Closed fracture of lateral condyle of distal right humerus,Humerus
760324,Closed fracture of medial condyle of left humerus,Humerus
760323,Closed fracture of medial condyle of right humerus,Humerus
434183,Closed fracture of medial condyle of humerus,Humerus
75385,"Closed fracture distal humerus, lateral epicondyle",Humerus
37311962,Fracture of anatomical neck of humerus,Humerus
37116630,Fracture of surgical neck of humerus,Humerus
36686183,Closed fracture of neck of left scapula,Humerus
4134321,Fracture of neck of humerus,Humerus
4044387,Fracture of glenoid cavity AND neck of scapula,Humerus
4013920,"Closed fracture proximal humerus, neck",Humerus
760490,Closed fracture of neck of right scapula,Humerus
760314,Closed fracture of surgical neck of left humerus,Humerus
760313,Closed fracture of surgical neck of right humerus,Humerus
760312,Closed fracture of anatomical neck of proximal left humerus,Humerus
760311,Closed fracture of anatomical neck of proximal right humerus,Humerus
440853,Closed fracture of surgical neck of humerus,Humerus
440230,"Closed fracture of proximal humerus, anatomical neck",Humerus
4165047,Fracture of multiple bones of upper limb,Humerus
4282857,Closed fracture of upper limb,Humerus
46270317,Fracture of shoulder,Humerus
45767610,Closed fracture of epiphyseal plate of distal humerus,Humerus
45767043,Pathological fracture of scapula due to osteoporosis,Humerus
45767042,Pathological fracture of humerus due to osteoporosis,Humerus
45767036,Pathological fracture of clavicle due to osteoporosis,Humerus
45767010,Pathological fracture of clavicle due to secondary osteoporosis,Humerus
45767004,Pathological fracture of humerus due to secondary osteoporosis,Humerus
45767003,Pathological fracture of scapula due to secondary osteoporosis,Humerus
45766940,Closed fracture of shoulder,Humerus
45766722,Closed fracture of lesser tuberosity of humerus,Humerus
37311960,Fracture of head of humerus,Humerus
37209174,Pathological fracture of right scapula due to osteoporosis,Humerus
37208089,Fracture of bone of left shoulder,Humerus
37116635,Multiple fractures of humerus,Humerus
37116632,Fracture of lesser tuberosity of humerus,Humerus
37116631,Fracture of greater tuberosity of humerus,Humerus
37116629,Multiple fractures of scapula,Humerus
37116628,Multiple fractures of clavicle,Humerus
36675164,Fractures involving multiple regions of right upper limb,Humerus
36675163,Fractures involving multiple regions of left upper limb,Humerus
36675162,Closed fractures involving multiple regions of right upper limb,Humerus
4338231,Fracture of interligamentous part of clavicle,Humerus
4337263,Fracture of acromial process of scapula,Humerus
4319889,Fracture of scapula,Humerus
4313341,Pathological fracture of clavicle,Humerus
4307551,Pathological fracture of scapula,Humerus
4237458,Fracture of clavicle,Humerus
4230454,Fracture of scapular body,Humerus
4219822,Fracture of shaft of clavicle,Humerus
4218146,Closed fracture dislocation of joint of shoulder girdle,Humerus
4213266,Fracture dislocation of joint of shoulder girdle,Humerus
4211244,Fracture of sternal end of clavicle,Humerus
4210438,Closed multiple fractures of clavicle and/or scapula and/or humerus,Humerus
4199441,Fracture of acromial end of clavicle,Humerus
4185307,Closed fracture of head of humerus,Humerus
4179653,Closed fracture of scapular body,Humerus
4175616,Fracture of shaft of humerus,Humerus
4174655,Fracture of coracoid process of scapula,Humerus
4138299,Fracture of distal end of humerus,Humerus
4136714,Supracondylar fracture of humerus,Humerus
4136688,Fracture subluxation of shoulder joint,Humerus
4136569,Fracture dislocation of scapulothoracic joint,Humerus
4134187,Fracture dislocation of shoulder joint,Humerus
4133610,Fracture of upper end of humerus,Humerus
4117701,Pathological fracture - shoulder,Humerus
