concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
2743703,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Via Natural or Artificial Opening",Procedure,ICD10PCS,S
2743709,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,S
2743712,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, External Approach",Procedure,ICD10PCS,S
2755317,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2755330,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2755343,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, External Approach",Procedure,ICD10PCS,S
2756515,From initial search,"Insertion of Pacemaker, Single Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756516,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756517,From initial search,"Insertion of Pacemaker, Dual Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756518,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756519,From initial search,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756520,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756535,From initial search,"Insertion of Pacemaker, Single Chamber into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756536,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756537,From initial search,"Insertion of Pacemaker, Dual Chamber into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756538,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756539,From initial search,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756540,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756569,From initial search,"Insertion of Pacemaker, Single Chamber into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756570,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756571,From initial search,"Insertion of Pacemaker, Dual Chamber into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756572,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756768,From initial search,"Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756769,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756784,From initial search,"Insertion of Pacemaker, Single Chamber into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756785,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756786,From initial search,"Insertion of Pacemaker, Dual Chamber into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756787,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756788,From initial search,"Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756789,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2787806,From initial search,"Measurement of Cardiac Pacemaker, External Approach",Procedure,ICD10PCS,S
2787807,From initial search,"Measurement of Cardiac Defibrillator, External Approach",Procedure,ICD10PCS,S
2787808,From initial search,"Measurement of Respiratory Pacemaker, External Approach",Procedure,ICD10PCS,S
2788031,From descendants,"Performance of Cardiac Pacing, Intermittent",Procedure,ICD10PCS,S
2788033,From descendants,"Performance of Cardiac Pacing, Continuous",Procedure,ICD10PCS,S
2794368,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Coronary Vein @ Percutaneous @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2799665,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Percutaneous @ Pacemaker, Single Chamber",Procedure,ICD10PCS,S
2799666,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Percutaneous @ Defibrillator Generator",Procedure,ICD10PCS,S
2800074,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Coronary Vein @ Percutaneous Endoscopic @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2800076,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Right @ Open @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2800079,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Left @ Percutaneous @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2803963,From initial search,Medical and Surgical @ Respiratory System @ Revision @ Diaphragm @ Via Natural or Artificial Opening Endoscopic @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2804686,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Open @ Pacemaker, Single Chamber",Procedure,ICD10PCS,S
2804688,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Percutaneous @ Defibrillator Generator",Procedure,ICD10PCS,S
2807723,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Ventricle, Right @ Open @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2807725,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Ventricle, Left @ Percutaneous Endoscopic @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2808661,From initial search,Medical and Surgical @ Respiratory System @ Removal @ Diaphragm @ Via Natural or Artificial Opening @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2810412,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Percutaneous @ Pacemaker, Single Chamber Rate Responsive",Procedure,ICD10PCS,S
2815403,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Ventricle, Left @ Percutaneous @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2816546,From initial search,Medical and Surgical @ Respiratory System @ Removal @ Diaphragm @ Percutaneous @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2821562,From initial search,Medical and Surgical @ Respiratory System @ Revision @ Diaphragm @ Open @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2821893,From initial search,Medical and Surgical @ Respiratory System @ Removal @ Diaphragm @ External @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2822818,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Right @ Percutaneous Endoscopic @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2822819,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Right @ Percutaneous Endoscopic @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2822826,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Pericardium @ Percutaneous @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2825440,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Open @ Pacemaker, Single Chamber Rate Responsive",Procedure,ICD10PCS,S
2825443,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Open @ Cardiac Resynchronization Pacemaker Pulse Generator",Procedure,ICD10PCS,S
2828024,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Coronary Vein @ Open @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2828025,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Coronary Vein @ Percutaneous Endoscopic @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2828159,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Pericardium @ Open @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2834150,From initial search,Medical and Surgical @ Respiratory System @ Removal @ Diaphragm @ Open @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2836028,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Pericardium @ Open @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2836029,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Pericardium @ Percutaneous Endoscopic @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2836593,From initial search,"Medical and Surgical @ Respiratory System @ Insertion @ Diaphragm, Right @ Open @ Diaphragmatic Pacemaker Lead (Deprecated)",Procedure,ICD10PCS,S
