concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
21035026,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] by Alliance,Drug,RxNorm Extension,S,956874
21035027,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] by TEVA,Drug,RxNorm Extension,S,956874
21035028,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] Box of 56 by Dowelhurst,Drug,RxNorm Extension,S,956874
21035029,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Frumil],Drug,RxNorm Extension,S,956874
21035031,Amiloride 0.5 MG/ML / Furosemide 4 MG/ML [Co-amilofruse],Drug,RxNorm Extension,S,956874
21035032,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Komil] Box of 28,Drug,RxNorm Extension,S,956874
21035033,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] by Wockhardt,Drug,RxNorm Extension,S,956874
21035034,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] Box of 28 by Dowelhurst,Drug,RxNorm Extension,S,956874
21035035,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] Box of 28 by Wockhardt,Drug,RxNorm Extension,S,956874
21038224,1 ML Furosemide 50 MG/ML Oral Suspension,Drug,RxNorm Extension,S,956874
21038225,1 ML Furosemide 24 MG/ML Oral Suspension,Drug,RxNorm Extension,S,956874
21038227,1 ML Furosemide 0.68 MG/ML Oral Suspension,Drug,RxNorm Extension,S,956874
21038228,1 ML Furosemide 0.8 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038229,1 ML Furosemide 16 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038230,1 ML Furosemide 20 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038231,1 ML Furosemide 6 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038235,1 ML Amiloride 0.25 MG/ML / Furosemide 2 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038236,1 ML Amiloride 0.5 MG/ML / Furosemide 4 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21038575,2 ML Furosemide 10 MG/ML Prefilled Syringe Box of 10 by Martindale,Drug,RxNorm Extension,S,956874
21038576,2 ML Furosemide 10 MG/ML Prefilled Syringe [Lasix] Box of 5,Drug,RxNorm Extension,S,956874
